Date,Resource Name,Site,Off page Activity,Submitted site Domain,Published Link,focus url,Keywords
7/17/2018,Tulasidevi,https://www.gorokuwireless.com,web 2.0,https://justpaste.it/,https://justpaste.it/64xtc,,gorokuwireless
7/17/2018,Tulasidevi,https://www.gorokuwireless.com,blog commenting,https://www.youtube.com,https://www.youtube.com/watch?v=SYR_IkJ4oqo,,gorokuwireless
7/17/2018,Tulasidevi,https://www.gorokuwireless.com,Image sharing,https://cheezburger.com,https://cheezburger.com/9190690304,,gorokuwireless
7/17/2018,Tulasidevi,https://www.gorokuwireless.com,podcast,https://soundcloud.com,https://soundcloud.com/user-391475847/how-to-activate-the-fx-network-channel-on-roku,,gorokuwireless
7/18/2018,Tulasidevi,https://www.gorokuwireless.com,web 2.0,jigsy.com,http://gorokuwirelessblog.jigsy.com/entries/general/history-channels-on-roku-streaming-player-,,gorokuwireless
7/18/2018,Tulasidevi,https://www.gorokuwireless.com,Classifieds,http://www.usaonlineclassifieds.com,http://www.usaonlineclassifieds.com/view/item-509305-How-To-Watch-History-Channel-On-Roku-Streaming-Player.html,,gorokuwireless
7/18/2018,Tulasidevi,https://www.gorokuwireless.com,Classifieds,http://liverpool.photoads.co.uk,http://liverpool.photoads.co.uk/services/entertainment/133101-Steps-To-Activate-The-History-Channel-On-Roku.html,,gorokuwireless
7/18/2018,Tulasidevi,https://www.gorokuwireless.com,bookmarking,https://social.wikitechguru.com/,https://social.wikitechguru.com/2018/07/18/activation-of-the-history-channel-on-roku/,,gorokuwireless
7/18/2018,Tulasidevi,https://www.gorokuwireless.com,bookmarking,https://stumble.wikitechguru.com,https://stumble.wikitechguru.com/2018/07/18/how-to-install-the-history-channel-activation-on-roku/,,gorokuwireless
7/19/2018,Tulasidevi,https://www.gorokuwireless.com,blog commenting,youtube.com,https://www.youtube.com/watch?v=tIsPhTCksGw,,gorokuwireless
7/19/2018,Tulasidevi,https://www.gorokuwireless.com,local listing,http://downtownmiami.com,http://downtownmiami.com/user/business/preview/423,,gorokuwireless
7/19/2018,Tulasidevi,https://www.gorokuwireless.com,Image sharing,http://downtownmiami.com,http://downtownmiami.com/user/photos/details/54050/,,gorokuwireless
7/19/2018,Tulasidevi,https://www.gorokuwireless.com,Event Creation,http://downtownmiami.com/,http://downtownmiami.com/user/events/preview/3167,,gorokuwireless
7/19/2018,Tulasidevi,https://www.gorokuwireless.com,web 2.0,bravesites.com/,http://gorokuwireless.bravesites.com/entries/general/bravo-now-app-on-roku-troubleshoot-options,,gorokuwireless
