Date	Resource Name	Site	Off page Activity	Submitted site Domain	Published Link	focus url	Keywords
7/9/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://seodish.16mb.com	http://seodish.16mb.com/story.php?title=activate-roku-streaming-stick	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.googl.wc.lt	http://www.googl.wc.lt/story.php?title=how-to-activate-and-link-roku-device-at-roku-com-link	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.support-services.ipt.pw	http://www.support-services.ipt.pw/News/how-to-activate-roku-streaming-stick-roku-com-link/	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.internet.ipt.pw	http://www.internet.ipt.pw/News/get-roku-streaming-stick-at-roku-com-link/	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://www.thefreeadforum.com	http://www.thefreeadforum.com/classifieds/category/265/Computer/listings/1099301/Setting-up-Roku-streaming-stick-in-an-easy-way.html	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	Classifieds	https://oboads.com	https://oboads.com/details.php?ad=221313&cat=0&uid=setuproku&myads=setuproku&start=0	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	Profile creation	edublogs.org	http://setuproku.edublogs.org/2018/03/26/setup-roku/	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	Web 2.0	edublogs.org	http://setuproku.edublogs.org/2018/07/09/activate-roku-streaming-stick/	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	Profile creation	https://discussion.evernote.com	https://discussion.evernote.com/profile/370777-setuproku/?tab=field_core_pfield_12	https://www.setuproku.com/	
7/9/2018	Ramya k	https://www.setuproku.com/	Profile creation	https://listography.com/	https://listography.com/setuproku	https://www.setuproku.com/	
7/10/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://www.hotfreelist.com	http://www.hotfreelist.com/3/posts/5-Services/53-Computer/990538-Smart-DNS-on-Roku.html	https://www.setuproku.com/how-to-setup-smart-dns-on-roku/	
7/10/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.pearltrees.com/	http://www.pearltrees.com/setuproku/item229083557	https://www.setuproku.com/how-to-setup-smart-dns-on-roku/	
7/10/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://flegoo.com/	http://flegoo.com/for-sale/computers-hardware/smart-dns-on-roku-streaming-device_i140552	https://www.setuproku.com/how-to-setup-smart-dns-on-roku/	
7/10/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://mypetads.com/	http://mypetads.com/458/posts/3-Services/27-Other/323267-Setup-Smart-DNS-on-Roku.html	https://www.setuproku.com/how-to-setup-smart-dns-on-roku/	
7/10/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://nvnickel.com/	http://nvnickel.com/?view=showad&adid=144363&cityid=29	https://www.setuproku.com/how-to-setup-smart-dns-on-roku/	
7/11/2018	Ramya k	https://www.setuproku.com/	BookMarking	https://piggo.wikitechguru.com	https://piggo.wikitechguru.com/2018/07/11/difference-between-roku-and-fire-stick/	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.business.ipt.pw	http://www.business.ipt.pw/News/difference-between-roku-and-fire-stick/	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.outplacement.ipt.pw	http://www.outplacement.ipt.pw/News/find-out-the-difference-between-roku-and-firestick/	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	BookMarking	http://www.classes.ipt.pw	http://www.classes.ipt.pw/News/roku-vs-fire-stick/	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://www.adsriver.com	http://www.adsriver.com/1/posts/16-Services-/284-Business-Services/1241727-Know-about-Roku-and-Firestick.html	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	Classifieds	classifiedsciti.com	http://www.classifiedsciti.com/jobs/it-hardware/roku-vs-fire-stick-1013345.htm	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	Classifieds	http://www.usedseattle.com/	http://www.usedseattle.com/classified-ad/Difference-between-Roku-and-Firestick_32001085?preview=insert&new=true&posted	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	Web 2.0	webself.net	https://setuproku-89.webself.net/blog/2018/07/10/difference-between-roku-and-firestick	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	blog commenting	http://variety.com/	https://variety.com/2018/digital/news/roku-outage-fbi-warnings-1202811988/#comment-5890103	https://www.setuproku.com/	
7/11/2018	Ramya k	https://www.setuproku.com/	BookMarking	https://start.me/	https://start.me/p/q6MqbY/startpage	https://www.setuproku.com/	
7/11/2018	tulassidevi	https://www.setuproku.com/	Classifieds	photoads.co.uk	http://kent.photoads.co.uk/services/entertainment/133001-Tips-to-setup-the-Roku-streaming-stick-Plus.html	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	
7/11/2018	tulassidevi	https://www.setuproku.com/	blog commenting	https://www.youtube.com	https://www.youtube.com/watch?v=yqvKZwB6LXM	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	
7/11/2018	tulassidevi	https://www.setuproku.com/	blog commenting	https://www.cnet.com/	https://www.cnet.com/products/roku-streaming-stick-plus/review/#comments	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	
7/11/2018	tulassidevi	https://www.setuproku.com/	bookmarking	http://www.4mark.net	http://www.4mark.net/story/413745/how-to-setup-your-roku-streaming-stick	https://www.setuproku.com/	
7/11/2018	tulassidevi	https://www.setuproku.com/	image sharing	https://imgur.com	https://imgur.com/gallery/IFk5SXZ	https://www.setuproku.com/	
7/11/2018	tulassidevi	https://www.setuproku.com/	profile creation	contently.com/	https://setuproku.contently.com/	https://www.setuproku.com/	
7/11/2018	tulassidevi	https://www.setuproku.com/	bookmarking	https://www.techdirt.com	submitted	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	
7/11/2018	tulassidevi	https://www.setuproku.com/	Classifieds	http://mypetads.com	http://mypetads.com/458/posts/4-Entertainment/28-Movies-TV/323684-Steps-to-activate-the-Roku-streaming-Sticks.html	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	
7/11/2018	tulassidevi	https://www.setuproku.com/	blog commenting	youtube.com	https://www.youtube.com/watch?v=hBp-VwidwTs	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	
7/11/2018	tulassidevi	https://www.setuproku.com/	web 2.0	https://justpaste.it/	https://justpaste.it/7b282	https://www.setuproku.com/how-to-setup-your-roku-streaming-stick/	Roku streaming stick plus
